song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Renaissance,4:13,48.0,1.0,https://open.spotify.com/track/03GyVL0UtZBtN7rFn4CxYV,https://p.scdn.co/mp3-preview/3dc5ba443587a127ef30f8aa0aa153d1819b8e5a?cid=57b733e352a843eab708ae2a3e3c30bc,For Eternity,2022-01-14,4.0,https://i.scdn.co/image/ab67616d00001e02f072e1ff508c9a84aaffa6ad,https://open.spotify.com/album/2DjWKU5CkdRnfQcJA35v6U,Kozah,https://open.spotify.com/artist/0g6PJw04eyN85JxQAGGdF4
See What I've Become,3:54,61.0,9.0,https://open.spotify.com/track/0eOyvQ2SeejSS0zJmLS4Wq,https://p.scdn.co/mp3-preview/b3e13f521a0f43b77e4b4f626f5f14340f9fd54f?cid=57b733e352a843eab708ae2a3e3c30bc,The Way,2011-06-30,10.0,https://i.scdn.co/image/ab67616d00001e02ad23694f5312acca60c1c2cb,https://open.spotify.com/album/4OAzTjKrZX2tsO64fuvUGA,Zack Hemsey,https://open.spotify.com/artist/2Eg0o1Mok66akOkuOiGdEv
What's The Difference,4:04,79.0,7.0,https://open.spotify.com/track/1SWVDBtw6h3tm9OehOkDhv,,2001,1999-11-16,23.0,https://i.scdn.co/image/ab67616d00001e029b19c107109de740bad72df5,https://open.spotify.com/album/7q2B4M5EiBkqrlsNW8lB7N,Dr. Dre,https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7
All Of The Lights,4:59,81.0,5.0,https://open.spotify.com/track/22L7bfCiAkJo5xGSQgmiIO,,My Beautiful Dark Twisted Fantasy,2010-11-22,13.0,https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
We Are Gods,2:55,60.0,1.0,https://open.spotify.com/track/24xmMFEfEsoxotkmfB1630,https://p.scdn.co/mp3-preview/e45af9cd598ad6760a6da152b4e62fe777bf1406?cid=57b733e352a843eab708ae2a3e3c30bc,We Are Gods,2020-03-09,1.0,https://i.scdn.co/image/ab67616d00001e02a1798b642bcf49248509f3bd,https://open.spotify.com/album/2BFd8kHYYQCMSBxBXOhnUB,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Raising the Damned,2:27,48.0,1.0,https://open.spotify.com/track/3wtoQWo5ZMG1BKID0hIA6x,https://p.scdn.co/mp3-preview/12531cec6c0923a8270ac86bdbb124ebb42d2b67?cid=57b733e352a843eab708ae2a3e3c30bc,Raising the Damned,2015-02-12,10.0,https://i.scdn.co/image/ab67616d00001e027ca4cd78c471389e5b87479f,https://open.spotify.com/album/2CXC1R60xvqTQjt2FYb0Cj,Damned Anthem,https://open.spotify.com/artist/3C0PKxcP1f25siYFYiyHa1
Guardians At the Gate,2:05,62.0,1.0,https://open.spotify.com/track/3y7SUOOniE5RfJ2lon75bu,https://p.scdn.co/mp3-preview/7a282d9c2984caba99140226531807d145369cec?cid=57b733e352a843eab708ae2a3e3c30bc,Chronicles,2012-03-23,28.0,https://i.scdn.co/image/ab67616d00001e021174c6dc57521ec54716413d,https://open.spotify.com/album/156CHY4RlBD8iY2TLG9Jg8,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Battle For All Time,3:03,50.0,7.0,https://open.spotify.com/track/4aPCWz8jyUBaL3YIo6VUkH,https://p.scdn.co/mp3-preview/958f2fca19931e8a27ae04dd8baf024b9d40ccbe?cid=57b733e352a843eab708ae2a3e3c30bc,Epic Action & Adventure Vol. 11 - ES024,2011-11-09,30.0,https://i.scdn.co/image/ab67616d00001e029ca88a98286c0528ac728075,https://open.spotify.com/album/0Lbh4OyrbRdGJC9LJSFt9M,Epic Score,https://open.spotify.com/artist/4Kyb02r7dR3H1PH7pYkb8X
8 Mile - Soundtrack Version (Edit),5:59,54.0,3.0,https://open.spotify.com/track/4b8YZVxagUgUfpETkzzpiu,,8 Mile,2002-01-01,16.0,https://i.scdn.co/image/ab67616d00001e02d2a9744ce3913664175e9197,https://open.spotify.com/album/481Cwgl0ST0PknmPC0PH8r,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Still D.R.E.,4:30,91.0,4.0,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep,,2001,1999-11-16,23.0,https://i.scdn.co/image/ab67616d00001e029b19c107109de740bad72df5,https://open.spotify.com/album/7q2B4M5EiBkqrlsNW8lB7N,Dr. Dre,https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7
Forever,5:57,78.0,1.0,https://open.spotify.com/track/5UsLjwBaTHBX4ektWIr4XX,,Relapse: Refill,2009-05-15,29.0,https://i.scdn.co/image/ab67616d00001e02506c4cc93e5a6234164125e1,https://open.spotify.com/album/7MZzYkbHL9Tk3O6WeD4Z0Z,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
None Shall Live,2:19,59.0,1.0,https://open.spotify.com/track/6tRXfCfNdcAMICHdQerIuu,https://p.scdn.co/mp3-preview/f31debd18900e50c8b7ac3ecf06b3300753b97f6?cid=57b733e352a843eab708ae2a3e3c30bc,Battlecry,2015-04-28,26.0,https://i.scdn.co/image/ab67616d00001e02149cf6977defe909fd7d34fd,https://open.spotify.com/album/4y7T04fej3MJ8tAe2FeKD5,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Blood Hunter,4:00,60.0,1.0,https://open.spotify.com/track/7FWV0SaFxRg7TLjo163VgN,https://p.scdn.co/mp3-preview/467cc03a6cd488e05d58f793f2970374a2132f85?cid=57b733e352a843eab708ae2a3e3c30bc,Blood Hunter,2018-02-11,1.0,https://i.scdn.co/image/ab67616d00001e02f8677ee709b83d52e6dbd7b7,https://open.spotify.com/album/6Nu44mMiRXztZUUNtxrz5c,Varien,https://open.spotify.com/artist/2g1JSu9UfRcQQYb3b03Km7
In Da Club,3:13,87.0,5.0,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC,,Get Rich Or Die Tryin',2003-02-06,20.0,https://i.scdn.co/image/ab67616d00001e02d843fabb75fef14010e30cae,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh
My Name (feat. Eminem & Nate Dogg),4:32,67.0,11.0,https://open.spotify.com/track/04w57GO5p1763E44KQ8AKB,https://p.scdn.co/mp3-preview/228058a993d8047b9a2151eb302bdb71d0bec76f?cid=57b733e352a843eab708ae2a3e3c30bc,Man VS Machine,2002-08-13,16.0,https://i.scdn.co/image/ab67616d00001e02ee40b9ee72dc199223b31e5c,https://open.spotify.com/album/0d9boWzzDKA5FTuWPOhQ37,Xzibit,https://open.spotify.com/artist/4tujQJicOnuZRLiBFdp3Ou
Star Sky,5:30,63.0,24.0,https://open.spotify.com/track/06AMpcajziFnEKniV25fiU,https://p.scdn.co/mp3-preview/c52e9142b03645def95b97c9504eedfc96b89459?cid=57b733e352a843eab708ae2a3e3c30bc,Battlecry,2015-04-28,26.0,https://i.scdn.co/image/ab67616d00001e02149cf6977defe909fd7d34fd,https://open.spotify.com/album/4y7T04fej3MJ8tAe2FeKD5,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
On Fire,3:07,67.0,4.0,https://open.spotify.com/track/0B2ZuTLZnWQ6gz8RlNwBu1,,The Hunger For More,2004-01-01,14.0,https://i.scdn.co/image/ab67616d00001e02c8789da04949019737754842,https://open.spotify.com/album/0Nk2ClpAEN3dLyzpKDVE2v,Lloyd Banks,https://open.spotify.com/artist/3vDUJHQtqT3jFRZ2ECXDTi
