song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Where Are You Now,2:28,96.0,1.0,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,https://p.scdn.co/mp3-preview/822c97661e9d8a4cdbc9bebf8b414b95d982ee81?cid=57b733e352a843eab708ae2a3e3c30bc,Where Are You Now,2021-07-30,1.0,https://i.scdn.co/image/ab67616d00001e028d7a7f1855b04104ba59c18b,https://open.spotify.com/album/5YrOK7zze6egKg9a8WRcnD,Lost Frequencies,https://open.spotify.com/artist/7f5Zgnp2spUuuzKplmRkt7
All My Love,3:34,58.0,1.0,https://open.spotify.com/track/49clGe0PtbYUx3vB7tyk3A,,Natsværmer,1983-01-01,10.0,https://i.scdn.co/image/ab67616d00001e0234ba0e73d254e9df78381b86,https://open.spotify.com/album/0JpeM92lotMIZHFJUOs1mP,Rocazino,https://open.spotify.com/artist/62ytrJr6FZ6W1boNI1Y0O3
K O L O,2:54,61.0,1.0,https://open.spotify.com/track/4DVOsxcYoOPd0Su0lzULed,https://p.scdn.co/mp3-preview/13ee93c65a7c550cb11158930726396bde8efecb?cid=57b733e352a843eab708ae2a3e3c30bc,K O L O,2022-03-11,1.0,https://i.scdn.co/image/ab67616d00001e02f11dd51118b40b05265aeb71,https://open.spotify.com/album/0NZqyszNT65qzP0Qac24DU,ICEKIID,https://open.spotify.com/artist/3RYYha3CC7js2PHbcBHewt
MANO (feat. ICEKIID) - Remix,2:48,59.0,1.0,https://open.spotify.com/track/4Luw3mpCVFDalDEIKuGOv3,https://p.scdn.co/mp3-preview/1d9625a18c5ad04f9f4450a4d4bb48b205ca5495?cid=57b733e352a843eab708ae2a3e3c30bc,MANO (feat. ICEKIID) [Remix],2022-03-04,1.0,https://i.scdn.co/image/ab67616d00001e02dbdf0c3fcaeffff1a9d58fe2,https://open.spotify.com/album/32JOJuWWzw1HL9h0PHDE19,Jireel,https://open.spotify.com/artist/2EWsHDexsSInArfFkhA2i6
All Of It All,2:58,66.0,1.0,https://open.spotify.com/track/4NlZMh26pWn34TQ0luNEmj,,All Of It All,2022-02-18,1.0,https://i.scdn.co/image/ab67616d00001e02375ab309b374425c676d6d9e,https://open.spotify.com/album/78cfKFwiCAU5McJblfI2im,Lukas Graham,https://open.spotify.com/artist/25u4wHJWxCA9vO0CzxAbK7
Cinderella Man,4:39,74.0,11.0,https://open.spotify.com/track/4SE4yewyGpOYfxfx59Yjc5,,Recovery,2010-06-18,17.0,https://i.scdn.co/image/ab67616d00001e02c08d5fa5c0f1a834acef5100,https://open.spotify.com/album/47BiFcV59TQi2s9SkBo2pb,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Sjov Sommer,2:50,53.0,1.0,https://open.spotify.com/track/4wrH1xWnH9UnGiodScaoCo,https://p.scdn.co/mp3-preview/48030983eb9357471f968692316d40bb32a9d8c5?cid=57b733e352a843eab708ae2a3e3c30bc,Sjov Sommer,2022-03-25,1.0,https://i.scdn.co/image/ab67616d00001e0239b5a77fb0a7fd6b1d64ca82,https://open.spotify.com/album/7ptAM4rLjJV8QSIbWNjxID,NODE,https://open.spotify.com/artist/03WNJB1zKyqW8DimkHP4Bg
Το ερεθιστικό,3:43,0.0,3.0,https://open.spotify.com/track/6HBpwBbhXKzvsSzAbwCvoj,https://p.scdn.co/mp3-preview/cfa0e77b4dfffb55f0a02421cbfd91533aefe6c2?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
POWER,4:52,83.0,3.0,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,,My Beautiful Dark Twisted Fantasy,2010-11-22,13.0,https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
'Till I Collapse,4:57,90.0,18.0,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,,The Eminem Show,2002-05-26,20.0,https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
