name,followers,popularity,genres,image_url,external_url
Pavlos Pavlidis,16871.0,38.0,['greek indie'],https://i.scdn.co/image/ab67616100005174ed8e2be98041efa7e6a0db2b,https://open.spotify.com/artist/3zaOzPiwcDwULOIc6IBCbd
Tripes,43330.0,38.0,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e020e62fe643d0e7ce9206e860f,https://open.spotify.com/artist/0j26rQ1q8emYPBLonXtEJ9
Locomondo,41297.0,41.0,"['greek indie', 'greek swing']",https://i.scdn.co/image/ab67616100005174638891ed953261c952fb3402,https://open.spotify.com/artist/6NxXHjmu44lrhxiQoMxKIc
Thanasis Papakonstantinou,43287.0,43.0,['entehno'],https://i.scdn.co/image/ab67616100005174f77337b1c2209114921b0ef3,https://open.spotify.com/artist/32iu6edxEe5fMPX029eAU3
Future World Music,52909.0,47.0,['epicore'],https://i.scdn.co/image/ab676161000051745210decc97b32363b19f7f58,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Thomas Bergersen,217875.0,69.0,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/9cc2b715294ec21bebc2629a257d302b98ec9ba6,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Epic Score,75789.0,51.0,['epicore'],https://i.scdn.co/image/ab67616d00001e02091d5bfaa6aaf8e8051cc6f2,https://open.spotify.com/artist/4Kyb02r7dR3H1PH7pYkb8X
Two Steps from Hell,677731.0,68.0,"['epicore', 'orchestral soundtrack', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616d00001e02149cf6977defe909fd7d34fd,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
X-Ray Dog,14836.0,45.0,['epicore'],https://i.scdn.co/image/ab67616d00001e02c91f9cdbd7975db468a949a2,https://open.spotify.com/artist/4GwtNddbBGWKxaquZyFFJG
Immediate,50829.0,39.0,['epicore'],https://i.scdn.co/image/ab67616d00001e029db4c9f58b5a84bdd7afd41a,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
City of the Fallen,13282.0,31.0,['epicore'],https://i.scdn.co/image/ab67616100005174f4c024c785b03e728f0ff181,https://open.spotify.com/artist/2Y6yi5MrD1GR14YM8qNCjw
Globus,36561.0,46.0,"['bow pop', 'epicore']",https://i.scdn.co/image/ab67616100005174a5cd86706cba4f0eeb14f50a,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Antti Martikainen,48733.0,46.0,['epicore'],https://i.scdn.co/image/ab67616100005174f099e06639352aa9d02157d2,https://open.spotify.com/artist/5GETpZjqNPFTHpVOousGeo
Epic North,24896.0,41.0,['epicore'],https://i.scdn.co/image/ab6761610000517477acb5bdd0e1b326b8167a6f,https://open.spotify.com/artist/65VzgvnIOrNmIk4UwsMI39
Really Slow Motion,90635.0,60.0,['epicore'],https://i.scdn.co/image/ab67616100005174adedcbf1b708e22ac289be84,https://open.spotify.com/artist/4dDb2XLONSNrTrucRcoaYM
Nick Phoenix,17954.0,52.0,['epicore'],https://i.scdn.co/image/ab676161000051742199a95acfe636148481e78c,https://open.spotify.com/artist/3EvzCyNmY3kbUkMawjsndF
Jack Trammell,9871.0,34.0,['epicore'],https://i.scdn.co/image/ab67616d00001e023bb0fd2493a9161e709674d4,https://open.spotify.com/artist/1gbgOYIuCfU3kfsk5iaJ3r
Mark Petrie,17874.0,47.0,['epicore'],https://i.scdn.co/image/ab67616d00001e02273d46adbdab5858106485d2,https://open.spotify.com/artist/1JmpYoOoDOGPw3uUyqj9m6
Sound Adventures,17500.0,48.0,"['epicore', 'scorecore', 'video game music']",https://i.scdn.co/image/ab67616100005174cc5aeea12066b3912cbaff9d,https://open.spotify.com/artist/0YdXfou4dLC8zsOn85D1GL
Music Junkies,6477.0,35.0,['epicore'],https://i.scdn.co/image/ab67616d00001e0202d273d1c2cdccaf5de0a798,https://open.spotify.com/artist/243alh1KgKJ2UsnjBHDRDs
Iván Torrent,52535.0,48.0,['epicore'],https://i.scdn.co/image/ab676161000051741a69f793961047040d271871,https://open.spotify.com/artist/3C6hf9ZIza3e2f2Q3XwfcO
Brand X Music,22751.0,46.0,['epicore'],https://i.scdn.co/image/ab676161000051745e94211f385d2ea0dd782540,https://open.spotify.com/artist/1jee9hr0fXhz1aoGnwOSiL
Gothic Storm,16490.0,41.0,['epicore'],https://i.scdn.co/image/ab67616100005174fb9474c4ca9356425f9782d1,https://open.spotify.com/artist/0yJVICreTbBrtXTstg8pE9
James Dooley,16303.0,38.0,['epicore'],https://i.scdn.co/image/ab67616d00001e02f2e564d8b26192a53a64d334,https://open.spotify.com/artist/1ZHio9RIhXSROw2pqxiZ91
Audiomachine,221009.0,61.0,"['epicore', 'video game music']",https://i.scdn.co/image/ab67616d00001e021174c6dc57521ec54716413d,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Marcus Warner,28188.0,49.0,['epicore'],https://i.scdn.co/image/ab67616100005174c46fe8df21139779a7c77844,https://open.spotify.com/artist/44HQ4cmv8MKMNHkPtXwZbQ
E.S. Posthumus,59911.0,43.0,"['bow pop', 'epicore']",https://i.scdn.co/image/ab67616d00001e0229e9e9ca5cf51d653febc263,https://open.spotify.com/artist/1CqW2UkLsaZvByLwkOaNsH
Zack Hemsey,137033.0,56.0,"['epicore', 'scorecore']",https://i.scdn.co/image/ab67616d00001e02ad23694f5312acca60c1c2cb,https://open.spotify.com/artist/2Eg0o1Mok66akOkuOiGdEv
Hidden Citizens,112757.0,59.0,"['epicore', 'modern alternative rock']",https://i.scdn.co/image/ab67616d00001e02d93f5923b8d8666148bbafa5,https://open.spotify.com/artist/707cnVfI3ISM4j5uzfTc7J
Secession Studios,48456.0,54.0,['epicore'],https://i.scdn.co/image/ab67616d00001e0261eb0552afabedca22319d99,https://open.spotify.com/artist/3vJCYheZF5PWUvTIykvNG5
Jo Blankenburg,29150.0,48.0,"['downtempo', 'epicore', 'scorecore', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616100005174055ec376415b6cdb6d51e13a,https://open.spotify.com/artist/4tuiQRw9bC9HZhSFJEJ9Mz
Makaveli,1790123.0,60.0,"['gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",https://i.scdn.co/image/ab676161000051742275cee3b8cca367d8e2ea79,https://open.spotify.com/artist/4pmNqFu71wEmFXSsYAiWK8
Big Pun,1027109.0,65.0,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",https://i.scdn.co/image/ab676161000051744dd28760ce53bdbc747fd598,https://open.spotify.com/artist/2Xu7q46Hf02xOoEIm4E1Qs
Busta Rhymes,2034100.0,76.0,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",https://i.scdn.co/image/ab676161000051747b31aba081ef084510cde4e3,https://open.spotify.com/artist/1YfEcTuGvBQ8xSD1f53UnK
Lloyd Banks,1087526.0,68.0,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']",https://i.scdn.co/image/a474ecb3ad39cd8fed27e221083fc2bfae45ea59,https://open.spotify.com/artist/3vDUJHQtqT3jFRZ2ECXDTi
The LOX,429367.0,58.0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",https://i.scdn.co/image/ab67616100005174deaecca1879726b131fd71c9,https://open.spotify.com/artist/0A7g2YbCA9FlyZvAG6VmKP
Method Man,1630466.0,75.0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",https://i.scdn.co/image/60f9c445b2ad379840fa1144faeb0f869cf39dd0,https://open.spotify.com/artist/4VmEWwd8y9MCLwexFMdpwt
Fat Joe,1287966.0,73.0,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",https://i.scdn.co/image/ab676161000051740611b0c36216936a143d0e25,https://open.spotify.com/artist/3ScY9CQxNLQei8Umvpx5g6
Beanie Sigel,541306.0,59.0,"['battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/aba95d6aea5a8b5afd9f06d2d33b4813f74b57f8,https://open.spotify.com/artist/0tCtGc5vt29zFZp6KXzN50
